,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,cred_hist_length,Current_loan_status
0,22,59000,0,123,0,2,35000,16.02,10,3.0,0.0
1,21,9600,1,5,1,0,1000,11.14,1,2.0,1.0
2,25,9600,2,1,2,1,5500,12.87,5,3.0,0.0
3,23,65500,0,4,2,1,35000,15.23,10,2.0,0.0
4,24,54400,0,8,2,1,35000,14.27,10,4.0,0.0
5,21,9900,1,2,3,0,2500,7.14,1,2.0,0.0
6,26,77100,0,8,1,0,35000,12.42,10,3.0,1.0
7,24,78956,0,5,2,0,35000,11.11,10,4.0,1.0
8,24,83000,0,8,0,0,35000,8.9,10,2.0,1.0
9,21,10000,1,6,3,2,1600,14.74,1,3.0,0.0
10,22,85000,0,6,3,0,35000,10.37,10,4.0,1.0
11,21,10000,1,2,4,0,4500,8.63,1,2.0,0.0
12,23,95000,0,2,3,0,35000,7.9,10,2.0,1.0
13,26,108160,0,4,1,3,35000,18.39,10,4.0,0.0
14,23,115000,0,2,1,0,35000,7.9,10,4.0,1.0
15,23,500000,2,7,5,0,30000,10.65,10,3.0,1.0
16,23,120000,0,0,1,0,35000,7.9,10,4.0,1.0
17,23,92111,0,7,2,4,35000,20.25,10,4.0,0.0
18,23,113000,0,8,5,2,35000,18.25,10,4.0,0.0
19,24,10800,2,8,1,0,1750,10.99,4,2.0,0.0
20,25,162500,0,2,3,0,35000,7.49,10,4.0,1.0
21,25,137000,0,9,0,3,34800,16.77,10,2.0,1.0
22,22,65000,0,4,1,2,34000,17.58,10,4.0,0.0
23,24,10980,1,0,0,0,1500,7.29,4,3.0,1.0
24,22,80000,0,3,0,2,33950,14.54,10,4.0,0.0
25,24,67746,0,8,4,1,33000,12.68,10,3.0,0.0
26,21,11000,2,3,3,3,4575,17.74,1,3.0,0.0
27,23,11000,1,0,0,0,1400,9.32,3,3.0,1.0
28,24,65000,0,6,4,0,32500,9.99,10,3.0,1.0
29,21,11389,3,5,1,1,4000,12.84,1,2.0,0.0
30,21,11520,1,5,2,0,2000,11.12,1,3.0,0.0
31,25,120000,0,2,3,0,32000,6.62,10,2.0,1.0
32,26,95000,0,7,4,1,31050,14.17,10,3.0,0.0
33,25,306000,0,2,5,1,24250,13.85,10,3.0,1.0
34,26,300000,2,10,2,1,7800,13.49,6,4.0,1.0
35,21,12000,1,5,1,0,2500,7.51,1,4.0,0.0
36,22,48000,0,1,1,3,30000,18.39,10,2.0,0.0
37,24,64000,0,8,5,2,30000,14.54,10,3.0,0.0
38,25,75000,0,4,4,2,30000,16.89,10,4.0,0.0
39,23,71500,0,3,5,2,30000,10.99,10,4.0,0.0
40,26,62050,0,6,2,3,30000,17.99,10,2.0,0.0
41,24,12000,1,4,3,0,2500,12.69,4,3.0,0.0
42,26,300000,2,10,3,0,20000,7.88,10,4.0,1.0
43,23,300000,1,1,1,4,24250,19.41,10,2.0,1.0
44,26,300000,1,9,4,0,10000,10.38,6,4.0,1.0
45,26,300000,2,0,1,2,25000,15.33,10,3.0,1.0
46,25,300000,2,9,4,3,18000,16.45,10,3.0,1.0
47,26,80690,0,8,0,0,30000,7.49,10,3.0,1.0
48,22,66300,0,4,2,0,30000,12.69,10,3.0,1.0
49,26,89028,0,0,5,0,30000,6.62,10,3.0,1.0
50,24,78000,0,4,5,2,30000,10.99,10,4.0,0.0
51,23,78000,0,7,5,4,30000,18.62,10,3.0,0.0
52,23,92004,0,6,0,1,30000,15.23,10,3.0,0.0
53,23,97000,0,7,3,0,30000,10.65,10,2.0,1.0
54,25,120000,0,9,1,0,30000,7.9,10,4.0,1.0
55,26,280000,0,4,0,1,10000,15.96,6,3.0,1.0
56,26,277104,0,0,3,0,20000,11.48,10,3.0,1.0
57,23,277000,1,3,0,0,35000,10.99,10,4.0,1.0
58,25,128000,0,9,0,0,30000,7.29,10,4.0,1.0
59,24,12000,1,2,3,3,1750,10.99,4,3.0,1.0
60,21,131000,0,0,3,0,30000,5.99,10,4.0,1.0
61,22,275000,1,6,3,0,12000,11.58,10,2.0,1.0
62,26,263000,2,0,1,0,10000,10.99,6,4.0,0.0
63,25,221850,2,9,2,2,25000,15.7,10,2.0,0.0
64,22,70000,0,6,1,2,29100,15.99,10,3.0,0.0
65,22,12000,2,7,1,2,1500,14.84,2,3.0,1.0
66,26,260000,1,10,4,0,28000,10.99,10,3.0,1.0
67,25,259000,2,9,4,2,20000,14.42,10,2.0,1.0
68,24,255000,2,9,1,0,9600,6.99,4,2.0,1.0
69,25,250000,0,2,2,1,25000,13.49,10,4.0,1.0
70,25,12000,1,0,2,1,3000,10.99,5,3.0,0.0
71,22,56950,0,6,2,0,28000,10.99,10,2.0,1.0
72,21,12000,1,6,1,1,3000,13.61,1,3.0,0.0
73,23,65000,0,2,1,0,28000,7.9,10,2.0,1.0
74,26,85000,0,2,3,0,28000,7.49,10,3.0,1.0
75,26,12000,1,2,1,0,6100,7.51,6,3.0,0.0
76,22,88000,0,6,3,0,28000,9.91,10,3.0,1.0
77,21,12000,1,0,0,1,4200,13.48,1,4.0,0.0
78,22,12000,1,6,5,0,4750,7.14,2,2.0,0.0
79,24,83004,0,0,3,2,28000,15.99,10,4.0,0.0
80,24,250000,0,2,1,1,18000,12.98,10,3.0,1.0
81,144,250000,0,4,3,1,4800,13.57,4,3.0,1.0
82,25,100000,0,5,5,0,28000,12.69,10,3.0,1.0
83,26,110000,0,10,1,0,28000,8.9,10,2.0,1.0
84,26,12000,1,0,5,0,2700,10.99,6,4.0,0.0
85,22,108000,0,6,1,0,28000,10.99,10,4.0,1.0
86,23,151200,0,7,5,0,28000,11.11,10,2.0,1.0
87,24,69000,0,2,4,0,27600,10.99,10,2.0,1.0
88,21,12000,2,5,5,3,3250,15.68,1,3.0,0.0
89,22,70000,0,4,1,1,27500,13.06,10,3.0,0.0
90,22,240000,1,6,0,0,25000,10.99,10,2.0,1.0
91,26,73200,0,5,3,2,27050,15.62,10,2.0,0.0
92,24,83000,0,5,0,1,27000,13.49,10,2.0,0.0
93,24,73399,0,0,3,2,27000,10.99,10,3.0,0.0
94,23,62500,0,7,2,0,26000,11.71,10,2.0,1.0
95,23,120000,0,1,1,0,25600,12.69,10,3.0,1.0
96,24,12360,1,2,2,1,1600,13.57,4,3.0,1.0
97,22,60000,0,0,3,0,25475,10.99,10,3.0,1.0
98,25,234000,2,3,2,1,20000,14.27,10,4.0,1.0
99,24,234000,1,8,4,0,20000,8.88,10,4.0,1.0
100,26,234000,2,10,4,0,21600,12.18,10,3.0,1.0
101,25,221004,2,6,5,2,11900,14.42,10,3.0,0.0
102,26,232500,2,0,2,1,25000,14.17,10,2.0,1.0
103,25,230000,2,5,2,1,35000,13.99,10,4.0,1.0
104,23,83000,0,7,1,0,25300,10.99,10,3.0,1.0
105,22,12600,2,4,0,0,2000,5.42,2,4.0,0.0
106,25,12600,1,3,0,1,1750,13.61,5,3.0,1.0
107,21,42500,0,3,1,1,25000,12.73,10,3.0,0.0
108,24,41000,0,2,4,2,25000,10.99,10,3.0,0.0
109,25,12816,1,0,5,1,3000,12.87,5,4.0,0.0
110,24,12960,2,1,4,0,3650,9.91,4,3.0,0.0
111,26,226000,2,4,4,0,20000,11.49,10,4.0,1.0
112,25,225000,2,0,4,3,30000,19.91,10,2.0,1.0
113,26,213000,2,6,1,0,35000,10.65,10,2.0,0.0
114,24,225000,0,0,2,0,6000,10.99,4,4.0,1.0
115,24,12960,2,0,5,0,4500,11.83,4,4.0,0.0
116,23,12996,1,0,5,1,2400,13.49,3,2.0,0.0
117,22,42000,0,6,2,2,25000,14.59,10,2.0,0.0
118,26,48000,0,2,1,1,25000,9.64,10,4.0,0.0
119,25,12996,1,1,2,2,3600,14.59,5,3.0,0.0
120,22,12996,1,1,1,0,4750,10.99,2,3.0,0.0
121,25,42360,0,1,1,3,25000,16.35,10,3.0,0.0
122,21,49000,0,4,1,1,25000,10.99,10,2.0,0.0
123,25,225000,2,0,3,4,25000,18.67,10,2.0,1.0
124,26,225000,0,1,1,0,3000,9.32,6,4.0,1.0
125,23,225000,0,8,5,0,7500,8.63,3,2.0,1.0
126,26,225000,2,2,3,0,25000,10.08,10,2.0,1.0
127,22,49464,0,5,0,1,25000,11.83,10,3.0,0.0
128,23,50000,0,1,5,0,25000,7.9,10,3.0,1.0
129,25,50000,0,4,4,0,25000,5.99,10,2.0,0.0
130,24,44000,0,2,5,2,25000,15.33,10,2.0,0.0
131,23,50000,0,1,3,0,25000,11.83,10,4.0,1.0
132,22,50004,0,0,3,0,25000,10.36,10,2.0,1.0
133,22,50004,0,3,3,1,25000,12.23,10,3.0,0.0
134,22,52000,0,2,1,0,25000,11.11,10,4.0,1.0
135,23,13200,1,3,5,0,4950,7.9,3,4.0,0.0
136,24,220000,2,1,1,0,25000,11.58,10,2.0,1.0
137,23,216000,2,5,5,0,21000,8.9,10,3.0,1.0
138,25,216000,2,2,1,2,25000,16.07,10,3.0,1.0
139,26,216000,2,10,1,1,20000,14.22,10,2.0,1.0
140,23,215000,2,7,2,1,35000,14.79,10,3.0,1.0
141,26,215000,2,11,1,0,12000,7.88,10,2.0,1.0
142,23,52000,0,1,0,1,25000,13.22,10,2.0,0.0
143,26,46000,0,2,5,2,25000,11.86,10,4.0,0.0
144,22,53000,0,5,1,1,25000,13.43,10,4.0,0.0
145,26,47000,0,0,4,2,25000,15.28,10,2.0,0.0
146,23,47000,0,1,3,3,25000,17.93,10,2.0,0.0
147,23,13200,2,2,1,0,1400,9.25,3,4.0,1.0
148,21,13200,1,0,3,1,4500,12.98,1,4.0,0.0
149,22,210000,2,6,3,0,16000,10.62,10,4.0,1.0
150,26,210000,1,10,0,0,22000,11.83,10,4.0,1.0
151,26,48000,0,5,3,4,25000,18.43,10,2.0,0.0
152,22,54996,0,6,1,0,25000,10.99,10,4.0,1.0
153,24,55000,0,4,4,2,25000,10.99,10,4.0,0.0
154,23,55000,0,4,1,0,25000,11.36,10,3.0,1.0
155,23,55000,0,4,1,2,25000,15.65,10,3.0,0.0
156,24,55164,0,8,0,1,25000,13.22,10,4.0,0.0
157,26,56000,0,4,5,1,25000,12.87,10,2.0,0.0
158,24,203500,1,8,2,1,20000,13.04,10,3.0,1.0
159,23,190000,2,5,1,4,22000,17.58,10,3.0,0.0
160,23,13920,1,2,0,3,7750,17.04,3,4.0,0.0
161,24,60000,0,0,0,0,25000,10.99,10,3.0,0.0
162,24,60000,0,2,0,0,25000,11.11,10,3.0,0.0
163,26,54000,0,7,5,2,25000,14.83,10,2.0,0.0
164,23,14000,1,2,5,2,4000,10.99,3,3.0,0.0
165,24,200000,0,8,2,0,12000,12.69,10,2.0,1.0
166,24,200000,2,8,4,1,12000,13.49,10,2.0,1.0
167,21,200000,2,5,1,1,16000,14.65,10,4.0,1.0
168,25,54000,0,3,4,3,25000,16.82,10,4.0,0.0
169,23,60000,0,3,0,1,25000,12.73,10,3.0,0.0
170,23,60000,0,7,0,0,25000,10.25,10,4.0,0.0
171,21,60000,0,6,1,0,25000,10.99,10,4.0,0.0
172,25,61959,0,9,2,1,25000,12.73,10,2.0,0.0
173,22,56400,0,2,4,2,25000,14.96,10,3.0,0.0
174,23,200000,2,7,1,0,28000,10.99,10,2.0,1.0
175,21,200000,2,2,5,1,25000,13.99,10,2.0,1.0
